delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
9105.0,ekart,cosmetics,bike,standard,east,foggy,115.3,39.63,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000024,no,,,695.39
11978.0,ecom express,pharmacy,van,two day,east,rainy,244.3,16.48,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000016,no,,,1270.94
1304.0,ecom express,cosmetics,ev bike,express,south,foggy,241.4,47.45,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000006,yes,,,1399.35
352.0,delhivery,clothing,truck,same day,east,clear,24.3,32.34,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000008,no,,,318.52
23907.0,dhl,cosmetics,bike,same day,north,clear,289.6,41.2,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000008,yes,,,1632.7206
13739.0,xpressbees,fragile items,truck,same day,central,rainy,125.5,5.33,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,yes,,,743.49
14349.0,amazon logistics,fragile items,ev van,standard,north,clear,91.2,3.55,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000024,no,,,466.65
24039.0,ecom express,groceries,van,two day,east,stormy,64.4,9.68,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000016,no,,,351.04
24427.0,ecom express,pharmacy,scooter,standard,west,foggy,203.7,0.67,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000024,no,,,1020.27
2271.0,ekart,furniture,bike,express,west,clear,206.3,22.36,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,yes,,,1148.58
3125.0,dhl,groceries,ev van,same day,central,foggy,83.5,36.62,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,,,627.36
6571.0,amazon logistics,cosmetics,ev van,two day,east,cold,173.1,36.86,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000016,no,,,976.08
13272.0,ekart,fragile items,truck,express,west,clear,280.1,5.52,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,no,,,1467.06
14274.0,blue dart,cosmetics,truck,express,south,foggy,252.5,47.7,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,yes,,,1455.6
9831.0,delhivery,electronics,truck,express,central,clear,237.9,25.45,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000006,yes,,,1315.85
7425.0,ecom express,furniture,bike,express,west,cold,285.8,42.22,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000007,yes,,,1605.66
11053.0,ecom express,pharmacy,ev bike,two day,central,rainy,230.3,43.02,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000016,no,,,1280.56
22162.0,shadowfax,electronics,ev van,same day,west,stormy,162.1,6.27,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000008,yes,,,929.31
461.0,xpressbees,documents,van,standard,central,foggy,32.4,1.8,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000024,no,,,167.4
11264.0,blue dart,electronics,ev van,standard,north,stormy,11.1,22.64,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000024,no,,,123.42
